Date/Time,Electricity:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Water:Facility [m3](Hourly)
 01/19  15:00:00,262480083.5,361467310.3,0.151238988
 01/19  16:00:00,292866542,346411867.6,8.79E-02
 01/19  17:00:00,491486631.1,223298829.5,6.04E-02
 01/19  18:00:00,495689784.5,216498706.5,3.01E-02
 01/19  19:00:00,492570440.1,222797428.9,1.50E-02
 01/19  20:00:00,175777015.5,0,0
 01/19  21:00:00,13294952.55,4580721.975,0
 01/19  22:00:00,13294952.55,7519808.802,0
 01/19  23:00:00,12518539.94,9189114.525,0
 01/19  24:00:00,10965714.72,10658404.93,0
 01/20  01:00:00,10172196.09,11938749.68,0
 01/20  02:00:00,10172196.09,13350553.56,0
 01/20  03:00:00,10172196.09,18516709.97,0
 01/20  04:00:00,10172196.09,33248099.21,0
 01/20  05:00:00,10172196.09,55075588.09,0
 01/20  06:00:00,10172196.09,947539603.8,0
 01/20  07:00:00,14769099.7,900945719.4,2.44E-04
 01/20  08:00:00,501746864.7,982238827.2,4.33E-02
 01/20  09:00:00,445230833.2,884572133.1,5.85E-02
 01/20  10:00:00,310259390.2,865678521.4,8.86E-02
 01/20  11:00:00,276036149.4,756159691.7,8.86E-02
 01/20  12:00:00,268801253.6,656741035.7,0.109565663
 01/20  13:00:00,265680600.2,601072393.3,0.157407058
 01/20  14:00:00,265679975.8,563256917,0.157407058
 01/20  15:00:00,276020687.3,543428877,0.151238988
 01/20  16:00:00,375088699.3,488752534,8.79E-02
 01/20  17:00:00,502448395.1,296592059,6.04E-02
 01/20  18:00:00,495689784.5,279639072.9,3.01E-02
 01/20  19:00:00,492570440.1,289473426,1.50E-02
 01/20  20:00:00,175777015.5,255616.7967,0
 01/20  21:00:00,13294952.55,6231171.505,0
 01/20  22:00:00,13294952.55,8130312.189,0
 01/20  23:00:00,12518539.94,8759379.45,0
 01/20  24:00:00,10965714.72,9025261.72,0
 01/21  01:00:00,10172196.09,8716198.185,0
 01/21  02:00:00,10172196.09,8666441.278,0
 01/21  03:00:00,10172196.09,8603809.18,0
 01/21  04:00:00,10172196.09,8674854.523,0
 01/21  05:00:00,10172196.09,8578061.441,0
 01/21  06:00:00,10172196.09,8847659.102,0
 01/21  07:00:00,10172196.09,9164749.346,0
 01/21  08:00:00,10189302.1,9034782.738,0
 01/21  09:00:00,11071659.94,9220447.158,0
 01/21  10:00:00,11071659.94,7575769.72,0
 01/21  11:00:00,11071659.94,4880054.332,0
 01/21  12:00:00,11071659.94,3435647.055,0
 01/21  13:00:00,11071659.94,2565335.442,0
 01/21  14:00:00,11071659.94,1903087.912,0
 01/21  15:00:00,11071659.94,1831212.237,0
 01/21  16:00:00,11071659.94,2223103.363,0
 01/21  17:00:00,11071659.94,2577996.232,0
 01/21  18:00:00,11071659.94,2589079.289,0
 01/21  19:00:00,10189302.1,2507548.987,0
 01/21  20:00:00,10189302.1,2527329.017,0
 01/21  21:00:00,10189302.1,2763886.854,0
 01/21  22:00:00,10189302.1,3629426.303,0
 01/21  23:00:00,10189302.1,3939838.33,0
 01/21  24:00:00,10189302.1,5016520.702,0
 01/22  01:00:00,10172196.09,4490058.727,0
 01/22  02:00:00,10172196.09,5681465.775,0
 01/22  03:00:00,10172196.09,5964816.008,0
 01/22  04:00:00,10172196.09,6361117.463,0
 01/22  05:00:00,10172196.09,7911190.646,0
 01/22  06:00:00,10172196.09,8195576.388,0
 01/22  07:00:00,10172196.09,8242483.769,0
 01/22  08:00:00,10189302.1,9307501.119,0
 01/22  09:00:00,10189302.1,9259478.714,0
 01/22  10:00:00,10189302.1,7207929.219,0
 01/22  11:00:00,10189302.1,6379126.219,0
 01/22  12:00:00,10189302.1,1589002.513,0
 01/22  13:00:00,10189302.1,701600.8308,0
 01/22  14:00:00,10189302.1,622856.758,0
 01/22  15:00:00,10189302.1,1170422.098,0
 01/22  16:00:00,10189302.1,1834341.727,0
 01/22  17:00:00,10189302.1,2787504.911,0
 01/22  18:00:00,10189302.1,3718869.472,0
